subclass,levels,parent_class,capabilities
Hunter,3;5;11,Ranger,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;ranged
Swarmkeeper,3;7;11,Ranger,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;ranged
Beast Master,7;11,Ranger,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;ranged;summons
Rogue,1,Rogue,martial;ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Thief,3;5;7;11,Rogue,martial;ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;tank
Assassin,3;5;7;11,Rogue,martial;ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Swashbuckler,4;5;7;11,Rogue,martial;ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Arcane Trickster,3;9;11,Rogue,martial;ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;tank
Shadow Magic,3;6,Sorcerer,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Draconic,1;6,Sorcerer,caster;fire;cold;lightning;acid;poison
Storm,1;6,Sorcerer,caster;lightning;cold;thunder
Wild Magic,3;6;11,Sorcerer,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Archfey,2;6,Warlock,caster;martial;fire;cold;lightning;thunder;necrotic;psychic;force
Fiend,2;5;9,Warlock,caster;martial;fire;cold;lightning;thunder;necrotic;psychic;force
Great Old One,2;5;6,Warlock,caster;martial;fire;cold;lightning;thunder;necrotic;psychic;force
Hexblade,1;2;5;6,Warlock,caster;martial;fire;cold;lightning;thunder;necrotic;psychic;force
Wizard,1,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Abjuration,2;6;10,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Bladesinging,6;9,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;martial
Conjuration,2,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Divination,2;6,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Enchantment,2,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Evocation,2;10,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Illusion,2,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Necromancy,2;6,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;summons
Transmutation,2;6,Wizard,caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
